Image,Bivalve,Broken ooid,Intraclast,Ooid,Ostracod,Peloid,Quartz grain,Total_Annotations
GN10-ES0086.json,1,1,1,0,27,108,0,138
HB4_ES0068.json,0,1,4,0,1,240,0,246
MB12_ES0081.json,0,4,0,30,0,409,0,443
WL5_IM10041.json,0,6,19,10,0,100,0,135
WLC8_ES0022.json,0,0,0,1,4,14,0,19
WLC8_ES0023.json,0,0,0,1,0,22,0,23
WLC8_ES0025.json,0,0,0,1,0,21,0,22
WLC8_ES0026.json,0,1,0,2,0,28,0,31
WT10-ES0004.json,0,1,14,22,0,71,0,108
WT10-ES0044.json,0,3,3,36,0,120,0,162
WT10_ES0039.json,0,2,7,17,0,145,9,180
WT12-ES0021.json,0,0,6,17,0,73,0,96
WT13-ES0023.json,0,3,23,15,0,217,0,258
WT13-ES0026.json,0,4,7,24,0,370,0,405
WT13_ES0045.json,0,1,9,6,0,69,0,85
WT13_ES0049.json,0,0,0,1,0,29,0,30
WT13_ES0056.json,0,0,0,3,0,14,0,17
WT15-ES0042.json,3,2,10,24,0,250,0,289
